232,Hillsborough (SWeb,USA,344.75( 3),na,112*,28*,90*,171*,50*,0,0
233,Kuching (S),Mal,328.65( 7),na,139*,18*,21,85,9,0,3*
234,Tula (S),Rus,328.50( 5),na,114*,55*,60*,62*,0,0,0
235,Ipoh (S),Mal,321.75( 5),na,139*,35*,7,21,0,0,0
236,Salvador (S)   Web,Bra,321.70( 3),-43%,61,0,23*,624,322,0,0
237,Buntong (S),Mal,296.50( 5),-77%,87,20,20,370,0,0,4
238,Cologne(GauradeWeb,Ger,285.50( 7),-51%,29,179,86,0,55*,0,0
239,Berezniki (S),Rus,273.30( 1),134%,96*,33*,29,114*,53*,0,0
240,Smolensk (S),Rus,270.50( 1),33%,43*,99,171*,0,0,0,0
241,Natal (S),Bra,242.00( 5),-61%,29,0,3,656,185,0,0
242,Chernigov (MS),Ukr,238.30(12),51%,82*,18*,55,112*,8*,0,0
243,Pecs (MS)      Web,Hun,237.90( 1),-95%,28,23,2,522,274,0,0
244,Florianopolis (,Bra,235.85( 3),-70%,30,0,20,535,321*,0,0
245,Wiesbaden (S),Ger,228.00( 1),22%,114*,0,0,0,0,0,0
246,Dibrugarh (S),Ind,220.00( 1),na,66,30,0,232,0,0,0
247,Seremban (S),Mal,214.50( 3),333%,13*,13*,17*,634*,85*,0,0
248,Saltillo (MS)  Web,Mex,212.00(12),na,6,0,0,800*,0,0,0
249,Amsterdam (S),Hol,203.50( 2),na,58,32,32,158,0,0,0
250,Seminario Hare,Bra,186.25( 2),-92%,11,0,5,615,80,0,0
251,Kaluga (S),Rus,172.75( 5),na,38,5,148,71,0,0,0
252,Rotterdam (MS) Web,Hol,170.00( 1),-20%,65*,9,12*,100*,0,0,0
253,Mentakab (S),Mal,162.00( 1),-61%,81*,0,0,0,0,0,0
254,Adelaide (S),Aus,157.50( 2),-19%,70*,9,11,12,0,0,0
255,Medellin (S),Col,153.75( 1),-36%,2,3,1,585,0,0,0
256,Tharagong (S),Ban,147.00( 1),na,51,23,19,50,0,0,0
257,Gaborone (S),Bot,141.95( 3),na,23,17,42,223,22,0,0
258,Scarborough (S),Can,136.45( 5),na,59,10,4,25,2,0,0
259,Bedong (S),Mal,133.50( 1),na,46,0,7,152,0,0,0
260,Curitiba (MS)  Web,Bra,133.25( 2),-81%,9,2,6,437,10,0,0
261,Soweto (S),SA,128.50( 1),na,44,15,5,92,0,0,0
262,Melaka (S),Mal,127.30( 2),-76%,50,10,0,64,13,0,0
263,Vicosa (S),Bra,127.25( 2),na,23,3,7,299,0,0,0
264,Cali (MS),Col,123.50( 1),-87%,0,57,26,214,0,0,0
265,Porto Alegre (MWeb,Bra,110.00( 1),-54%,0,0,65*,300,25,0,0
266,Alor Setar (S),Mal,104.75( 2),na,43,0,0,75,0,0,0
267,Khulna (S),Ban,104.25( 1),-97%,50,1,1,11,0,0,0
268,Permas Jaya (S),Mal,100.50( 1),-8%,50*,0,1,0,0,0,0
269,Rio Claro (S),Bra,100.00( 1),-66%,0,0,0,400,0,0,0
270,Port Dickson (S,Mal,97.25( 2),na,21,18,7,135,0,0,0
271,Kumasi (MS),Gha,93.85( 1),na,2,25,58,87,141,0,0
272,Luzk (S),Ukr,83.50( 2),na,17,0,60,78,0,0,0
273,Lvov (MS),Ukr,73.00( 9),-24%,27*,0,11,54,0,0,0
274,Portal do Avata,Bra,69.00( 1),na,15,0,28,40,150,0,0
275,Caruaru (S),Bra,68.80( 3),na,3,0,7,216,53,0,0
276,Campina Grande,Bra,65.30( 2),-95%,8,0,5*,170,43,0,0
277,Brazil Namahatt,Bra,61.00( 1),na,26,0,7,8,35,0,0
278,Port Elizabeth,SA,60.75( 1),na,0,54,10,7,0,0,7*
279,Kuantan ( ),,53.80( 1),34%,20,6,0,26,13,0,0
280,Severodvinsk (S,Rus,49.00( 1),-40%,12*,2,19,14*,100,0,0
281,Gelugor ( ),,48.50( 1),na,13,2,5,72,0,0,0
282,Sungei Siput (S,Mal,48.00( 1),na,12,24,0,0,0,0,0
283,Marilia (S),Bra,47.10( 3),na,13,2,4,68,1,0,0
